formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,ANET,92.2,95.9,88.5,0.8889,EPS CAGR,2,0.0,2015-01-02,3.9175,2016-01-04,4.8375,0.2348
2015,2,INTU,86.7,97.0,76.3,0.8889,ROIC,1,0.0,2015-01-02,82.6165,2016-01-04,86.4455,0.0463
2015,3,VRSK,85.8,97.0,74.7,0.8889,EPS CAGR,1,0.0,2015-01-02,60.819,2016-01-04,71.5909,0.1771
2015,4,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-01-02,6.7907,2016-01-04,6.7367,-0.0079
2015,5,ODFL,82.7,92.4,73.0,1.0,,4,0.0,2015-01-02,24.7736,2016-01-04,18.6721,-0.2463
2015,6,HON,81.6,81.2,81.9,0.7778,"FCF Margin, FCF Conversion",5,0.25,2015-01-02,74.1711,2016-01-04,77.4763,0.0446
2015,7,BKNG,81.2,66.2,96.3,0.7778,"FCF Margin, FCF Conversion",3,0.5,2015-01-02,44.7322,2016-01-04,48.7786,0.0905
2015,8,GWW,81.0,93.7,68.3,1.0,,4,0.0,2015-01-02,212.1528,2016-01-04,171.4121,-0.192
2015,9,AMAT,80.2,77.5,83.0,1.0,,4,0.0,2015-01-02,21.7105,2016-01-04,16.4007,-0.2446
2015,10,AAPL,80.2,80.0,80.3,0.7778,"FCF Margin, FCF Conversion",6,0.2,2015-01-02,24.1718,2016-01-04,23.6887,-0.02
2016,1,ANET,93.8,93.5,94.0,0.8889,ROIC,3,0.0,2016-01-04,4.8375,2017-01-03,6.0662,0.254
2016,2,CRM,89.8,97.0,82.5,0.7778,"ROIC, EPS CAGR",1,0.0,2016-01-04,75.4055,2017-01-03,69.3404,-0.0804
2016,3,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-01-04,101.3302,2017-01-03,115.8427,0.1432
2016,4,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-01-04,37.6383,2017-01-03,40.0454,0.064
2016,5,NKE,81.2,80.4,82.0,0.8889,ROIC,5,0.25,2016-01-04,53.3142,2017-01-03,45.5847,-0.145
2016,6,VRSK,81.2,95.9,66.5,0.8889,EPS CAGR,2,0.0,2016-01-04,71.5909,2017-01-03,77.3143,0.0799
2016,7,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-01-04,6.7367,2017-01-03,9.4392,0.4012
2016,8,INTU,80.5,93.8,67.3,0.8889,ROIC,2,0.0,2016-01-04,86.4455,2017-01-03,106.3421,0.2302
2016,9,CPRT,80.2,91.0,69.4,0.7778,"FCF Margin, FCF Conversion",6,0.0,2016-01-04,4.7087,2017-01-03,6.965,0.4792
2016,10,REGN,79.2,73.2,85.3,0.8889,ROIC,5,0.25,2016-01-04,512.3185,2017-01-03,376.5896,-0.2649
2017,1,CRM,92.9,97.0,88.8,0.7778,"ROIC, EPS CAGR",1,0.0,2017-01-03,69.3404,2018-01-02,102.6344,0.4802
2017,2,CL,84.8,97.0,72.6,0.8889,EPS CAGR,1,0.0,2017-01-03,52.043,2018-01-02,61.005,0.1722
2017,3,CME,82.2,87.5,77.0,0.8889,ROIC,6,0.0,2017-01-03,80.7964,2018-01-02,106.8879,0.3229
2017,4,REGN,81.8,73.7,90.0,0.8889,ROIC,6,0.2,2017-01-03,376.5896,2018-01-02,379.4659,0.0076
2017,5,ORLY,80.0,82.7,77.3,1.0,,7,0.1667,2017-01-03,18.7213,2018-01-02,16.6173,-0.1124
2017,6,SHW,79.7,85.6,73.8,1.0,,7,0.1667,2017-01-03,83.9825,2018-01-02,127.8256,0.522
2017,7,ANET,79.5,76.2,82.7,0.8889,ROIC,4,0.3333,2017-01-03,6.0662,2018-01-02,14.4394,1.3803
2017,8,CHD,78.2,90.9,65.6,0.7778,"FCF Margin, FCF Conversion",6,0.0,2017-01-03,39.1186,2018-01-02,44.2984,0.1324
2017,9,AMAT,77.4,67.3,87.5,1.0,,6,0.2,2017-01-03,28.8307,2018-01-02,48.3142,0.6758
2017,10,SBUX,77.1,76.7,77.5,1.0,,6,0.0,2017-01-03,44.8242,2018-01-02,47.537,0.0605
2018,1,ANET,92.1,88.2,96.0,0.8889,ROIC,5,0.0,2018-01-02,14.4394,2019-01-02,13.1594,-0.0886
2018,2,TXN,88.7,93.0,84.4,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-01-02,82.9587,2019-01-02,76.1463,-0.0821
2018,3,LRCX,87.8,80.4,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-01-02,16.8594,2019-01-02,12.5886,-0.2533
2018,4,META,87.5,79.9,95.0,0.8889,ROIC,6,0.0,2018-01-02,179.8407,2019-01-02,134.4989,-0.2521
2018,5,NVDA,86.5,77.8,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.1667,2018-01-02,4.9225,2019-01-02,3.3731,-0.3148
2018,6,AMAT,85.2,77.2,93.3,1.0,,7,0.0,2018-01-02,48.3142,2019-01-02,30.9887,-0.3586
2018,7,CL,84.8,97.0,72.6,0.8889,EPS CAGR,1,0.0,2018-01-02,61.005,2019-01-02,49.2761,-0.1923
2018,8,ZTS,84.3,90.3,78.3,1.0,,6,0.0,2018-01-02,66.3516,2019-01-02,78.5676,0.1841
2018,9,REGN,83.4,79.6,87.3,0.8889,ROIC,7,0.0,2018-01-02,379.4659,2019-01-02,369.3891,-0.0266
2018,10,ADBE,83.0,72.0,94.0,0.8889,ROIC,8,0.2857,2018-01-02,177.7,2019-01-02,224.57,0.2638
2019,1,BKNG,90.4,88.8,92.0,1.0,,7,0.0,2019-01-02,67.4355,2020-01-02,81.2571,0.205
2019,2,ANET,87.3,84.9,89.8,1.0,,6,0.0,2019-01-02,13.1594,2020-01-02,12.795,-0.0277
