formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2015,1,MA,70.9,51.5,90.3,1.0,,5,0.75,2015-04-01,80.8566,2016-04-01,90.0162,0.1133
2015,2,MSFT,52.7,15.7,89.7,0.7778,"FCF Margin, FCF Conversion",4,1.0,2015-04-01,34.802,2016-04-01,48.7898,0.4019
2015,3,META,77.6,66.9,88.3,0.7778,"ROIC, EPS CAGR",3,0.5,2015-04-01,80.959,2016-04-01,115.0497,0.4211
2015,4,JNJ,61.2,35.6,86.8,1.0,,4,1.0,2015-04-01,72.7059,2016-04-01,82.4614,0.1342
2015,5,LRCX,84.8,84.3,85.3,0.7778,"FCF Margin, FCF Conversion",4,0.0,2015-04-01,6.0187,2016-04-01,7.2165,0.199
2016,1,GOOGL,81.2,69.0,93.3,1.0,,8,0.4286,2016-04-01,38.1453,2017-04-03,42.461,0.1131
2016,2,META,88.7,84.7,92.7,0.8889,ROIC,4,0.0,2016-04-01,115.0497,2017-04-03,141.0414,0.2259
2016,3,LRCX,80.8,72.8,88.8,0.7778,"FCF Margin, FCF Conversion",5,0.25,2016-04-01,7.2165,2017-04-03,11.3444,0.572
2016,4,SBUX,66.8,47.9,85.8,1.0,,5,0.5,2016-04-01,48.8464,2017-04-03,47.5398,-0.0267
2016,5,MA,73.2,60.8,85.5,0.6667,"ROIC, FCF Margin, FCF Conversion",6,0.6,2016-04-01,90.0162,2017-04-03,106.2459,0.1803
2017,1,META,90.5,85.1,95.9,0.6667,"ROIC, Net Debt/EBITDA, Leverage",5,0.0,2017-04-03,141.0414,2018-04-02,154.0373,0.0921
2017,2,GOOGL,60.5,26.3,94.8,1.0,,9,0.875,2017-04-03,42.461,2018-04-02,50.1865,0.1819
2017,3,ADBE,76.8,61.5,92.0,0.8889,ROIC,7,0.5,2017-04-03,129.59,2018-04-02,212.28,0.6381
2017,4,CRM,92.9,97.0,88.8,0.7778,"ROIC, EPS CAGR",1,0.0,2017-04-03,80.9102,2018-04-02,113.3392,0.4008
2017,5,NVDA,60.0,36.2,83.8,0.7778,"FCF Margin, FCF Conversion",6,0.8,2017-04-03,2.6692,2018-04-02,5.4618,1.0462
2018,1,LRCX,87.8,80.4,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.0,2018-04-02,17.3118,2019-04-01,16.9154,-0.0229
2018,2,NVDA,86.5,77.8,95.3,0.7778,"FCF Margin, FCF Conversion",7,0.1667,2018-04-02,5.4618,2019-04-01,4.5182,-0.1728
2018,3,META,87.5,79.9,95.0,0.8889,ROIC,6,0.0,2018-04-02,154.0373,2019-04-01,167.2314,0.0857
2018,4,ADBE,83.0,72.0,94.0,0.8889,ROIC,8,0.2857,2018-04-02,212.28,2019-04-01,272.17,0.2821
2018,5,INTU,67.5,41.7,93.3,1.0,,4,0.6667,2018-04-02,159.5814,2019-04-01,251.8152,0.578
2019,1,NVDA,55.3,14.3,96.3,0.7778,"FCF Margin, FCF Conversion",8,1.0,2019-04-01,4.5182,2020-04-01,6.046,0.3381
2019,2,LRCX,74.2,53.1,95.3,0.7778,"FCF Margin, FCF Conversion",8,0.7143,2019-04-01,16.9154,2020-04-01,20.8886,0.2349
2019,3,INTU,70.8,46.7,94.8,1.0,,5,0.75,2019-04-01,251.8152,2020-04-01,208.242,-0.173
2019,4,META,85.8,77.6,94.0,0.8889,ROIC,7,0.1667,2019-04-01,167.2314,2020-04-01,158.2107,-0.0539
2019,5,ADBE,75.3,56.6,94.0,0.8889,ROIC,9,0.625,2019-04-01,272.17,2020-04-01,301.21,0.1067
2020,1,ADBE,80.3,64.4,96.3,1.0,,10,0.4444,2020-04-01,301.21,2021-04-01,483.34,0.6047
2020,2,INTU,59.5,24.1,94.8,1.0,,6,0.8,2020-04-01,208.242,2021-04-01,380.0698,0.8251
2020,3,V,57.2,23.5,91.0,1.0,,10,1.0,2020-04-01,146.0894,2021-04-01,208.2115,0.4252
2020,4,MA,55.5,19.9,91.0,1.0,,10,1.0,2020-04-01,220.2506,2021-04-01,351.879,0.5976
2020,5,MSFT,68.0,45.5,90.5,1.0,,9,0.75,2020-04-01,144.178,2021-04-01,232.0467,0.6094
2021,1,ADBE,74.5,53.6,95.5,1.0,,11,0.7,2021-04-01,483.34,2022-04-01,458.19,-0.052
2021,2,META,85.2,77.8,92.5,1.0,,9,0.125,2021-04-01,296.0602,2022-04-01,222.8927,-0.2471
2021,3,MSFT,63.2,35.5,91.0,1.0,,10,0.8889,2021-04-01,232.0467,2022-04-01,298.6785,0.2871
2021,4,ASML,57.5,27.8,87.3,1.0,,10,0.8889,2021-04-01,606.0911,2022-04-01,638.7172,0.0538
2021,5,INTU,56.9,26.7,87.0,1.0,,7,0.8333,2021-04-01,380.0698,2022-04-01,467.7165,0.2306
2022,1,META,88.7,80.3,97.0,1.0,,10,0.0,2022-04-01,222.8927,2023-04-03,211.2152,-0.0524
2022,2,ASML,72.8,48.7,97.0,1.0,,11,0.7,2022-04-01,638.7172,2023-04-03,654.0677,0.024
2022,3,GOOGL,91.8,88.0,95.5,1.0,,14,0.0,2022-04-01,138.9187,2023-04-03,103.4427,-0.2554
2022,4,ADBE,85.5,75.6,95.5,1.0,,12,0.1818,2022-04-01,458.19,2023-04-03,380.08,-0.1705
2022,5,LRCX,86.7,80.0,93.3,1.0,,11,0.1,2022-04-01,50.273,2023-04-03,50.6283,0.0071
2023,1,GOOGL,83.2,70.8,95.5,1.0,,15,0.3571,2023-04-03,103.4427,2024-04-01,154.1234,0.4899
2023,2,ASML,75.0,54.4,95.5,1.0,,12,0.6364,2023-04-03,654.0677,2024-04-01,972.7534,0.4872
2023,3,NVDA,66.4,37.3,95.5,1.0,,12,0.8182,2023-04-03,27.9077,2024-04-01,90.2069,2.2323
2023,4,V,75.2,56.5,94.0,1.0,,13,0.6667,2023-04-03,222.9818,2024-04-01,273.0928,0.2247
2023,5,MA,76.3,60.2,92.5,1.0,,13,0.5833,2023-04-03,358.9079,2024-04-01,471.3648,0.3133
2024,1,MA,69.0,47.8,90.3,1.0,,14,0.7692,2024-04-01,471.3648,2025-04-01,543.5145,0.1531
2024,2,V,71.0,53.2,88.8,1.0,,14,0.6923,2024-04-01,273.0928,2025-04-01,342.4298,0.2539
2024,3,ADBE,80.4,74.3,86.5,1.0,,14,0.2308,2024-04-01,502.09,2025-04-01,383.2,-0.2368
2024,4,MSFT,61.2,41.0,81.5,1.0,,13,0.8333,2024-04-01,417.2482,2025-04-01,378.4666,-0.0929
2024,5,ASML,69.7,58.9,80.5,1.0,,13,0.5833,2024-04-01,972.7534,2025-04-01,659.2541,-0.3223
2025,1,META,76.3,60.2,92.5,1.0,,13,0.5,2025-04-01,583.6365,2026-04-01,578.6937,-0.0085
2025,2,GOOGL,74.0,55.4,92.5,1.0,,17,0.6875,2025-04-01,156.4338,2026-04-01,297.2125,0.8999
