formation_year,rank,ticker,overall_score,valuation_score,quality_score,quality_coverage,missing_metrics,historical_pe_observations_used,valuation_percentile,buy_date,buy_price,sell_date,sell_price,annual_return
2019,1,NVDA,55.3,14.3,96.3,0.7778,"FCF Margin, FCF Conversion",8,1.0,2019-04-01,4.5182,2020-04-01,6.046,0.3381
2019,2,LRCX,74.2,53.1,95.3,0.7778,"FCF Margin, FCF Conversion",8,0.7143,2019-04-01,16.9154,2020-04-01,20.8886,0.2349
2019,3,INTU,70.8,46.7,94.8,1.0,,5,0.75,2019-04-01,251.8153,2020-04-01,208.242,-0.173
2019,4,META,85.8,77.6,94.0,0.8889,ROIC,7,0.1667,2019-04-01,167.2315,2020-04-01,158.2107,-0.0539
2019,5,ADBE,75.3,56.6,94.0,0.8889,ROIC,9,0.625,2019-04-01,272.17,2020-04-01,301.21,0.1067
2019,6,V,65.5,38.6,92.5,1.0,,9,0.875,2019-04-01,149.1366,2020-04-01,146.0894,-0.0204
2019,7,MSFT,72.2,52.4,92.0,1.0,,8,0.7143,2019-04-01,111.3404,2020-04-01,144.178,0.2949
2019,8,MA,69.2,46.7,91.8,0.6667,"ROIC, FCF Margin, FCF Conversion",9,0.75,2019-04-01,229.1246,2020-04-01,220.2506,-0.0387
2019,9,KLAC,56.3,22.6,90.0,0.8889,ROIC,9,1.0,2019-04-01,11.1459,2020-04-01,12.2781,0.1016
2019,10,ASML,54.2,18.6,89.7,0.7778,"FCF Margin, FCF Conversion",8,1.0,2019-04-01,178.6095,2020-04-01,234.7859,0.3145
2020,1,ADBE,80.3,64.4,96.3,1.0,,10,0.4444,2020-04-01,301.21,2021-04-01,483.34,0.6047
2020,2,INTU,59.5,24.1,94.8,1.0,,6,0.8,2020-04-01,208.242,2021-04-01,380.0697,0.8251
2020,3,V,57.2,23.5,91.0,1.0,,10,1.0,2020-04-01,146.0894,2021-04-01,208.2115,0.4252
2020,4,MA,55.5,19.9,91.0,1.0,,10,1.0,2020-04-01,220.2506,2021-04-01,351.8792,0.5976
2020,5,MSFT,68.0,45.5,90.5,1.0,,9,0.75,2020-04-01,144.178,2021-04-01,232.0467,0.6094
2020,6,GOOGL,72.7,57.3,88.0,1.0,,12,0.6364,2020-04-01,54.6207,2021-04-01,105.553,0.9325
2020,7,ASML,51.1,17.3,85.0,1.0,,9,1.0,2020-04-01,234.7859,2021-04-01,606.0912,1.5815
2020,8,TXN,56.1,28.2,84.0,1.0,,9,1.0,2020-04-01,80.884,2021-04-01,164.8599,1.0382
2020,9,META,80.5,77.4,83.5,1.0,,8,0.1429,2020-04-01,158.2107,2021-04-01,296.0602,0.8713
2020,10,KLAC,50.3,18.3,82.3,0.8889,ROIC,10,1.0,2020-04-01,12.2781,2021-04-01,32.9122,1.6806
2021,1,ADBE,74.5,53.6,95.5,1.0,,11,0.7,2021-04-01,483.34,2022-04-01,458.19,-0.052
2021,2,META,85.2,77.8,92.5,1.0,,9,0.125,2021-04-01,296.0602,2022-04-01,222.8927,-0.2471
2021,3,MSFT,63.2,35.5,91.0,1.0,,10,0.8889,2021-04-01,232.0467,2022-04-01,298.6784,0.2871
2021,4,ASML,57.5,27.8,87.3,1.0,,10,0.8889,2021-04-01,606.0912,2022-04-01,638.717,0.0538
2021,5,INTU,56.9,26.7,87.0,1.0,,7,0.8333,2021-04-01,380.0697,2022-04-01,467.7165,0.2306
2021,6,GOOGL,79.5,72.5,86.5,1.0,,13,0.3333,2021-04-01,105.553,2022-04-01,138.9187,0.3161
2021,7,RHHBY,59.0,35.2,82.7,0.6667,"ROIC, FCF Margin, FCF Conversion",20,0.8947,2021-04-01,34.4462,2022-04-01,43.8117,0.2719
2021,8,AMZN,79.0,78.7,79.3,1.0,,11,0.0,2021-04-01,158.05,2022-04-01,163.56,0.0349
2021,9,COST,51.5,24.1,78.8,1.0,,9,1.0,2021-04-01,335.0199,2022-04-01,547.1624,0.6332
2021,10,MA,57.4,37.8,77.0,1.0,,11,0.9,2021-04-01,351.8792,2022-04-01,354.2732,0.0068
2022,1,META,88.7,80.3,97.0,1.0,,10,0.0,2022-04-01,222.8927,2023-04-03,211.2152,-0.0524
2022,2,ASML,72.8,48.7,97.0,1.0,,11,0.7,2022-04-01,638.717,2023-04-03,654.0676,0.024
2022,3,GOOGL,91.8,88.0,95.5,1.0,,14,0.0,2022-04-01,138.9187,2023-04-03,103.4428,-0.2554
2022,4,ADBE,85.5,75.6,95.5,1.0,,12,0.1818,2022-04-01,458.19,2023-04-03,380.08,-0.1705
2022,5,LRCX,86.7,80.0,93.3,1.0,,11,0.1,2022-04-01,50.273,2023-04-03,50.6283,0.0071
2022,6,MSFT,76.7,60.9,92.5,1.0,,11,0.6,2022-04-01,298.6784,2023-04-03,279.9788,-0.0626
2022,7,TXN,80.8,70.6,91.0,1.0,,11,0.4,2022-04-01,160.0587,2023-04-03,166.548,0.0405
2022,8,NVDA,64.8,39.1,90.6,0.7778,"FCF Margin, FCF Conversion",11,0.8,2022-04-01,26.6324,2023-04-03,27.9077,0.0479
2022,9,KLAC,78.8,67.7,90.0,0.8889,ROIC,12,0.4545,2022-04-01,34.5366,2023-04-03,38.7674,0.1225
2022,10,PFE,79.8,72.3,87.3,0.8889,ROIC,12,0.2727,2022-04-01,40.2321,2023-04-03,33.3588,-0.1708
